slot_id,appointment_date,appointment_time,is_available
000001,2016-01-01,08:00:00,False
000002,2016-01-01,08:15:00,False
000003,2016-01-01,08:30:00,False
000004,2016-01-01,08:45:00,False
000005,2016-01-01,09:00:00,False
000006,2016-01-01,09:15:00,False
000007,2016-01-01,09:30:00,False
000008,2016-01-01,09:45:00,False
000009,2016-01-01,10:00:00,False
000010,2016-01-01,10:15:00,False
000011,2016-01-01,10:30:00,False
000012,2016-01-01,10:45:00,True
000013,2016-01-01,11:00:00,False
000014,2016-01-01,11:15:00,False
000015,2016-01-01,11:30:00,False
000016,2016-01-01,11:45:00,False
000017,2016-01-01,12:00:00,False
000018,2016-01-01,12:15:00,False
000019,2016-01-01,12:30:00,False
000020,2016-01-01,12:45:00,False
000021,2016-01-01,13:00:00,False
000022,2016-01-01,13:15:00,False
000023,2016-01-01,13:30:00,False
000024,2016-01-01,13:45:00,False
000025,2016-01-01,14:00:00,False
000026,2016-01-01,14:15:00,False
000027,2016-01-01,14:30:00,False
000028,2016-01-01,14:45:00,False
000029,2016-01-01,15:00:00,False
000030,2016-01-01,15:15:00,False
000031,2016-01-01,15:30:00,False
000032,2016-01-01,15:45:00,False
000033,2016-01-01,16:00:00,False
000034,2016-01-01,16:15:00,False
000035,2016-01-01,16:30:00,False
000036,2016-01-01,16:45:00,False
000037,2016-01-01,17:00:00,True
000038,2016-01-01,17:15:00,False
000039,2016-01-01,17:30:00,True
000040,2016-01-01,17:45:00,False
000041,2016-01-04,08:00:00,False
000042,2016-01-04,08:15:00,True
000043,2016-01-04,08:30:00,False
000044,2016-01-04,08:45:00,False
000045,2016-01-04,09:00:00,False
000046,2016-01-04,09:15:00,False
000047,2016-01-04,09:30:00,False
000048,2016-01-04,09:45:00,False
000049,2016-01-04,10:00:00,False
000050,2016-01-04,10:15:00,False
000051,2016-01-04,10:30:00,False
000052,2016-01-04,10:45:00,False
000053,2016-01-04,11:00:00,False
000054,2016-01-04,11:15:00,False
000055,2016-01-04,11:30:00,False
000056,2016-01-04,11:45:00,False
000057,2016-01-04,12:00:00,False
000058,2016-01-04,12:15:00,False
000059,2016-01-04,12:30:00,False
000060,2016-01-04,12:45:00,False
000061,2016-01-04,13:00:00,False
000062,2016-01-04,13:15:00,True
000063,2016-01-04,13:30:00,False
000064,2016-01-04,13:45:00,False
000065,2016-01-04,14:00:00,False
000066,2016-01-04,14:15:00,False
000067,2016-01-04,14:30:00,True
